alt,caption,commentsCount,dimensionsHeight,dimensionsWidth,displayUrl,firstComment,hashtags/0,hashtags/1,hashtags/2,hashtags/3 ,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11," ""hashtags/12""",hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags /20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28 ,hashtags/29,id,likesCount,locationId,locationName,mentions/0,mentions/1,mentions/2,mentions/3,ownerFullName, ownerId,ownerUsername,position,productType,queryTag,shortCode,timestamp,type,url,"videoViewCountvideoViewCount""videoViewCount"""
"Photo by latitude掳锝♀媶飧? 饾摢 饾攢饾摬饾摰饾摰 on January 10, 2022. May be a closeup.",#浜戣鏃犲父#鍚夌帇闆細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The house of the fairy godmother full of Tianxiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One piano, one sword, one cup of tea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The plumage is often hazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't provoke peach and plum blossoms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#鈽侊笍 #馃嵉 #馃幑 #馃棥 #馃尯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Poetry#涓栧崕#瑷?钁?#鏂囬潚#quote#will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#馃専 #闋婂竷甯僷lay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# thunderbolt battle magic strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#new #浜簊hape#film#photo#鏈堟棩鏃?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#picture good 銇? 銇? 浜恒仺 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#photogood 銇? 銇? 銇? 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#銇娿倓銇欍伩銇仌銇?#Goodnight #2 4 ""goodnight""",0,961,1080,https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/s10780x1080/271494991_1049001555658403_90 .jpg? _nc_ht = instagram.fvll1-1.fna.fbcdn.net & _nc_cat = 111 & _nc_ohc = S8n1uRxtNt0AX_wQ5pR & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT9St4Ll4pWm1EbuRiMSNcefJK-gRrIqQUWX5SOg215VBQ & oe = 61E943FA & _nc_sid = d997c6 , , cloud impermanence , Ji lotus  ,鈽侊笍,馃嵉,馃幑,馃棥,馃尯,Poem,Shihua,Yanqi,Wenqing,Quotations,will,馃専 ,Thunderbolt puppet show,Thunderbolt war magic strategy,new,Doll,picture,photograph,moon day,good picture 銇嶃仾浜恒仺銇屻倞銇熴亜,good picture 銇嶃仾浜恒仺鍋屻倞銇熴亜,銇娿倓銇欍伩銇仌銇?,Good night,goodnight,,,,,2.74803E+18,26,,,,,,,,1339060785,,94,,Thunderbolt Puppet Show,CYi9FIClZoC,2022-01-10T10:26 :50.000Z,Image,https://www.instagram.com/p/CYi9FIClZoC/,,
," ""I stand in Yunlin 馃ぃ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
come to see you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get ready for work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life is short, just have fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#yunlinhuwei Attraction#yunlinhuwei#huwei town#puppet show#涓?鍝?#閵?娌掑竷绉?#閵?涓?鍝?# Circle Landmark""",0,1137,640,https:// instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/271497203_998796480980238_4505037923070270413_n.jpg?_nc_ht=instagram.fvll1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=GqRvfdlsIS8AX8eLHiD&edm=AA0rjkIBAAAA&ccb=7-4&oh= 00_AT_frLqgePoBjloNtLY9RZa0JvGaC58ptM7dMV6Mtpzhcw&oe=61E4584F&_nc_sid=d997c6,,Huwei Attraction in Yunlin,Huwei in Yunlin,Huwei Town,Puppet Show,One Brother,Perak Puppet Show,One Brother Thunderbolt," ""Circle landmark""",,,,,,,,,,,,,,,,,,,,,,,2.74801E+18,2,,,,,,,,36887056325,, 95,igtv,Thunderbolt Puppet Show,CYi6BQylYAH,2022-01-10T10:06:44.000Z,Video,https://www.instagram.com/p/CYi6BQylYAH/ ,15,
"Photo by latitude掳锝♀媶飧? 饾摢 饾攢饾摬饾摰饾摰 on January 10, 2022. May be a closeup of one or more people.",#鐜夐鍐板績#鐧芥棤鏍硷細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The three thousand worlds with white hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade bones and ice hearts stretch the sky;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The wind festival has been like an afterglow since ancient times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingpao danced with a smile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#devil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TianmoluFirst#The wise man, the chief of the demon world#The military division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Poetry#涓栧崕#瑷?钁?#鏂囬潚#quote#will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#馃専 #闋婂竷甯僷lay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# thunderbolt battle magic strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#new #浜簊hape#film#photo#鏈堟棩鏃?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#picture good 銇? 銇? 浜恒仺 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#photogood 銇? 銇? 銇? 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#銇娿倓銇欍伩銇仌銇?#Goodnight#goodnight""",0,898,1080,https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/271491555_47550760058691609763946005869160946399463 .jpg? _nc_ht = instagram.fvll1-1.fna.fbcdn.net & _nc_cat = 100 & _nc_ohc = xtJ6xE_8A6MAX9v456_ & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT_3D0RUGIOvd1avxURgDdKpY43PhYS3yZQGKisUGT5d7g & oe = 61E88294 & _nc_sid = d997c6 , , jade bone Bing , white Paradise , Devil ,Tianmolu,wise man,strategist,poetry,shihua,yanqi,wenqing,quote,will,馃専,Pili puppet show ,Thunderbolt War Magic Policy,new,Doll,picture,photograph,Moonday,good picture,good photo,"銇娿倓銇欍伩銇仌銇? """,Good night,goodnight,,,,,,2.74801E+18,16,,,,,,,,1339060785,,96,,Thunderbolt Puppet Show,CYi5pQOlVAT,2022-01-10T09:56:49.000Z, Image,https://www.instagram.com/p/CYi5pQOlVAT/,,
"Photo by Write Liu Chenghe on January 09, 2022. May be an image of text.",I once thought I could live an ordinary life of writing a family and starting a business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#write liuchenghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#handwriting#practice calligraphy#hard pen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#handwrittentext#handwritten sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#閵?鎶痯uppet#puppet show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#闋俼uot#Classic quote""",1,1080,1080,https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/271450804_115348144210857_4128308647043040337_https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/271450804_115348144210857_4128308647043040337 .jpg? _nc_ht = instagram.fvll1-1.fna.fbcdn.net & _nc_cat = 109 & _nc_ohc = hEot-vILoHMAX-OkY9q & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT9BKWq2q9tQ5lwvedKLB5siLxuXST-hR3_dKcIRDzKXSA & oe = 61E80056 & _nc_sid = d997c6 , ," write stream Cheng River  ""Handwriting"""," ""Practicing Chinese Characters"""," ""Hard Pen Characters"""," ""Handwriting Text"""," ""Handwriting Sentences"""," ""Perak Puppet Show"""," ""Puppet Show"""," ""Perak Quotations"""," ""Classic Quotations""",,,,,, ,,,,,,,,,,,,,,2.74747E+18,24,,,,,,,,46179745884,,97,,Thunderbolt Puppet Show,CYg-x2ehb0V ,2022-01-09T16:03:12.000Z,Image,https://www.instagram.com/p/CYg-x2ehb0V/,,,,
,"The 2020 annual tea party covered Fuxi Shen Tianxiang with the members, and in 2021, I will reinterpret the Perak song Seven Strings Touching the Uniqueness"". I really thank you and love you so much馃檹鉂わ笍",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#wushengyaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#guzheng#violin#Bass #beat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#qixian caressing the future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Xia Chenglin Guzheng Battle Song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#xiachenglin# thunder cloth puppet show""",0,1167,750,https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/271566025_355810095880187_5523334838335790302_n.jpg ? _nc_ht = instagram.fvll1-1.fna.fbcdn.net & _nc_cat = 111 & _nc_ohc = XkfUeG3cpXYAX_pDWJT & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT9i5oUW1N1mVmJrVoNoXzqzRCeCegPH0uEP3jV2EZwVTA & oe = 61E3FEA0 & _nc_sid = d997c6 , , pentatonic Gathering , Zheng ," violin  ""Bass"""," ""Blow"""," ""Seven Strings Make the Best of You"""," ""Xia Chenglin's Guzheng Battle Song"""," ""Xia Chenglin"""," ""Thunderbolt Puppet Show""",,,,,,,,,,,,,,,,, ,,,,,2.74744E+18,2,,,,,,,,8953148799,,98,igtv,Thunderbolt Puppet Show,CYg3yDtrmr0,2022-01-09T15: 02:45.000Z,Video,https://www.instagram.com/p/CYg3yDtrmr0/,29,,
"Photo by Summer Moon Night Day on January 09, 2022. May be an image of text.","The heart builds a nest of love, and there are no guests at night.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The one who was covered by the eight evil gods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who dares to provoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Southern Suzaku#Mo Zhaonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#practice calligraphy#puppet show#in practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#闋婂竷甯働LAY""",0,1137,1080,https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/271468241_1102987030434884_1135427680571651986_njpg ? _nc_ht = instagram.fvll1-1.fna.fbcdn.net & _nc_cat = 108 & _nc_ohc = 5v3MnKgubP4AX_u5nnW & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT_AUX5s7nhyzP3qPFPExe9t6rbNS9emcrh2dRFhx_fGeQ & oe = 61E7FD62 & _nc_sid = d997c6 , ," South Suzaku, "" Mo Zhaonu ", calligraphy  ,Puppet Show,Practice,Thunderbolt Puppet Show,,,,,,,,,,,,,,,,,,,,,,,,2.74742E+18,8,,,,,,,,46460985111,,99,,Thunderbolt Puppet Show,CYgzDVmpePq,2022-01-09T14:20:44.000Z,Sidecar,https://www. instagram.com/p/CYgzDVmpePq/,,,,
"Photo by Three Years Old on January 09, 2022. May be an image of text.",The Most Comfortable Powerhouse-Xiang Duxiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's super fun to have him around!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#handwriting#handwriting#handwriting text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#hard pen#hard pen character#hard pen calligraphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#practice calligraphy# practice calligraphy daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#habit#habit forming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#xiangduxiu# Thunder Puppet Show#Classic Quotations of Thunder Puppet Show""",3,1350,1080,https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885 -15 / e35 / p1080x1080 / 271458071_1311138042632870_7497687468987602058_n.jpg? _nc_ht = instagram.fvll1-1.fna.fbcdn.net & _nc_cat = 102 & _nc_ohc = HAIATOVBizsAX9Buyrp & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT-jcNO7SPU6XI-uILihDghdm9Tn7evTG7KKfoCelJIndQ & oe = 61E8C8A9 & _nc_sid = d997c6 , ," Handwriting"""," ""Handwriting"""," ""Handwriting"""," ""Hard Pen"""," ""Hard Pen"""," ""Hard Pen Calligraphy"""," ""Practicing Chinese Characters"""," ""Practicing Chinese Characters Everyday"""," ""Habits"""," ""Habits Development"""," ""Scented Unique"" Show""",Puppet Show,Classic Quotations of Puppet Show,,,,,,,,,,,,,,,,,2.74738E+18,28,,,,,,,,48801387844,,100,,Thunderbolt Puppet Show,CYgpA9Pp5K6,2022-01-09T12:53:01.000Z,Sidecar,https://www.instagram.com/p/CYgpA9Pp5K6/,,,
"Photo by latitude掳锝♀媶飧? 饾摢 饾攢饾摬饾摰饾摰 on January 09, 2022. May be an anime-style image of text.",#闋檲#椋庝簯鍎?:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poetry, wine, qin and chess players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful and snowy days.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashamed hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yun Xin admires Sword Immortal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#wine#wind#flower#snow#month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馃啍 #Hengshan#Sword Fengyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Poetry#涓栧崕#鏂囬潚#瑷?钁?#Quotations#will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#馃専 #闋婂竷甯僷lay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#闋婁含鏄烺ecorded 椋?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#浜篺igure#movie#comic#photo#Sunday Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#picture good 銇? 銇? 浜恒仺 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#photogood 銇? 銇? 銇? 銇? 銈? 銇? 銇?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#銇娿倓銇欍伩銇仌銇?#Goodnight#goodnight""",0,1080,1080,https://instagram.fvll1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/2714272033_2092530614248_390_5 .jpg? _nc_ht = instagram.fvll1-1.fna.fbcdn.net & _nc_cat = 107 & _nc_ohc = CHre6jY3dAgAX9RFkAA & edm = AA0rjkIBAAAA & ccb = 7-4 & oh = 00_AT-Ld-C2slxip8-H9MRAGLSl-Ey5_eX2F0Wp8WTpgda6xg & oe = 61E8364F & _nc_sid = d997c6 , ," sword dust  ""Fengyuner"""," ""Wine"""," ""Wind"""," ""Flower"""," ""Snow"""," ""Moon"""," ""Hengshan"""," ""Sword Fengyun"""," ""Poetry"""," ""Poem Hua"""," ""Wen Qing"""," ""Yan Zhen"" """,Quotations,will,馃専,Pili Puppet Show,Pili Jingxuan Recorded 闃?,Human Figure,Movie,Cartoon,Photo,Sunday Day, The movie is good 銇嶃仾浜恒仺 銇屻倞銇熴亜,The photo is good 銇嶃仾浜恒仺銇屻倞銇熴亜,銇娿倓銇欍伩銇仌銇?,Goodnight,goodnight,,,2.74737E+18,20,,,,,,,,1339060785,,101,,Thunderbolt Puppet Show,CYgnmSPFYjR,2022-01- 09T12:40:38.000Z,Image,https://www.instagram.com/p/CYgnmSPFYjR/,,,
"Photo by 17LIVE Taiwan on January 09, 2022. May be an anime-style image of 1 person and text.",鈿狅笍 Attention! The editor is dizzy~ Sorry for causing everyone's confusion馃檹馃徎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Answer questions 3 & 4 in reverse orderYo!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy fan test, leave a message below to answer the question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the correct #true iron fans will have #surprise gifts馃巵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example of an answer: AAAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(It doesn鈥檛 matter if the answer order is different, the surprise news will be told to you!),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馃敟Pili Puppet Show Flash Live Decision馃敟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
download now鉃★笍 https://bit.ly/pilinewyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/29 (Sat) ~ 2/6 (Sun) ""Heroes of the Thunder"" and other classic dramas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Take you to relive the golden age of the most essence of #閵?甯冨竷play鉁?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immediately leave a message for the big test of thunderbolt fans, measure your thunderbolt force (echo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look at the thunderbolts of those years, how much do you remember!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanxi Bingxian's hand rises and falls, Yue Lanfang's intrigue馃摑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The conspiracy layout calculated by the organs, the master strokes of the blood鈿旓笍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[The annual holiday flash live broadcast breaks ten thousand statue dolls waiting for you to draw],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 馃憞馃徎 Read on for how to participate馃憞馃徎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馃巵锝淒aily check-in gift锝?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 1/29 to 2/6, log in to 17LIVE every day, and you can get 17LIVE experience points every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let's play with #绲愮湡filter to transform together鉂わ笍 (Please look forward to it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馃巵锝淔an Message Gift锝?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29-2/6 12:00 noon-1:00 am every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
During the broadcast of the episode," I left a message in the live room ""Thunderbolt fans are here"," I want to draw the grand prize""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You can draw ""#SuhozhenOfficial Poster"" (priceworth $890).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The number of comments can be calculated cumulatively, and a total of 9 people will be selected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馃巵锝? Sharing Gifts with Friends锝?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29-2/6 12:00 noon-1:00 am every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
During the episodeinside, share #Pili puppet show live room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You can draw ""#Q version limited doll set + collection box"" (priceworth $800)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The number of shares can be calculated cumulatively, and a total of 10 will be drawn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馃巵锝淭op Gifts for Iron Fans锝?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29-2/6 12:00 noon-1:00 am every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
During the episodeInside, watch 1HR per dayabove, and watch for 9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You can draw ""#SuhozhenStatueDoll"" (priceWorth $39",800) 鈥? 锔?.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Message Gift, Friends Sharing Gift, Top Fan Gift Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
